詞語	吳拼
八號下半日	paq ghau gho pun gniq
八歲	paq syu
八歲時	paq syu zy
八爪魚	paq tsau yu
八竿子打不着	paq kI tsy tan paq dzoq
八竿子打不着	paq kI tsy tan paq zyuq
八竿子打勿着	paq kI tsy tan vaq dzoq
八竿子打勿着	paq kI tsy tan vaq zyuq
八竿子打弗着	paq kI tsy tan vaq dzoq
八竿子打弗着	paq kI tsy tan vaq zyuq
八萬大藏經	paq vae da dzaon cin
八號分機	paq ghau fen ci
八行書	paq ghaon syu
八集	paq jiq
八風吹不動	paq fon tshei paq don
公了	kon liau
公交	kon ciau
公交公司	kon ciau kon sy
公交站	kon ciau dzae
公交線路	kon ciau shi lu
公交車	kon ciau tsho
公人	kon gnin
公休日	kon shieu gniq
公侯伯子男	kon gheu paq tsy nEI
公保大樓	kon pau da leu
公共交通	kon gon ciau thon
公共假期	kon gon ko ji
公共行政	kon gon yin cin
公共衛生	kon gon wei sen
公共責任	kon gon tsaq zyun
公分	kon fen
公分母	kon fen meu
公制單位	kon tsyu tae wei
公務人員	kon vu zyun yu
公務人員	kon Wu zyun yu
公司生產	kon sy sen tshae
公司簡介	kon sy ci ka
公孫大娘	kon sen da gnian
公安人員	kon EI zyun yu
公安分局	kon EI fen jiuq
公安局長	kon EI jiuq cian
公家	kon cia
公家機構	kon cia ci keu
公家機關	kon cia ci kuae
公寓大樓	kon gniu da leu
公差	kon tsho
公差費	kon tsha fi
公平交易	kon bin ciau yiq
公平競爭	kon bin jin tsen
公平貿易	kon bin meu yiq
公廣集團	kon kuaon jiq doe
公才公望	kon dze kon vaon
公教	kon ciau
公教人員	kon ciau zyun yu
公文旅行	kon ven li yin
公正不阿	kon cin paq ou
公海自由	kon he zy yeu
公爵夫人	kon ciaq fu gnin
公爾忘私	kon er vaon sy
公爾忘私	kon er maon sy
公用交換電話網	kon yon ciau wun di wo maon
公私不分	kon sy paq fen
公私勿分	kon sy vaq fen
公私弗分	kon sy vaq fen
公私交迫	kon sy ciau paq
公私分明	kon sy fen min
公立學校	kon liq ghoq yau
公羊傳	kon yan dzoe
公而忘私	kon er vaon sy
公而忘私	kon er maon sy
公職人員	kon ciq zyun yu
公衆人物	kon tson zyun vaq
公衆參與	kon tson tshae yu
公衆集會	kon tson jiq wei
公設辯護人	kon shiq bi wu gnin
公訴人	kon su gnin
公認	kon gnin
公認是	kon gnin zy
公認爲	kon gnin wei
公諸於世	kon tsyu yu syu
公證人	kon cin gnin
公貓	kon mae
公費生	kon fi san
公費留學	kon fi lieu ghoq
公路個人賽	kon lu kou gnin se
公路自行車	kon lu zy yin tsho
公門之中好修行	kon men tsy tson hau shieu yin
公門修行	kon men shieu yin
公開發行	kon khe faq yin
六一兒童節	loq iq er don ciq
六一國際兒童節	loq iq koq ci er don ciq
六世	loq syu
六世紀	loq syu ci
六人	loq gnin
六人份	loq gnin ven
六個	loq goq
六個人	loq goq gnin
六億人	loq i gnin
六六大順	loq loq da zyun
六分	loq fen
六分之一	loq fen tsy iq
六分儀	loq fen gni
六分儀座	loq fen gni zou
六分鐘	loq fen tson
六千人	loq chi gnin
六千個	loq chi goq
六口之家	loq kheu tsy cia
六妹	loq mei
六家	loq cia
六尾	loq vi
六度萬行	loq du vae yin
六日	loq gniq
六朝	loq jiau
六朝四大家	loq jiau sy da cia
六朝時代	loq jiau zy de
六歲	loq syu
六歲時	loq syu zy
六甲	loq ciaq
六甲鄉	loq ciaq shian
六百人	loq paq gnin
六百個	loq paq goq
六萬人	loq vae gnin
六萬個	loq vae goq
六親不認	loq chin paq gnin
六集	loq jiq
六龜	loq kuei
六龜鄉	loq kuei shian
共分	gon fen
共去	gon chi
共同感覺	gon don kI ciuq
共同被告人	gon don bi kau gnin
共和黨人	gon ghou taon gnin
共商大計	gon saon da ci
共從	gon dzon
共樂	gon loq
共生	gon sen
共生死	gon sen sy
共產集團	gon tshae jiq doe
共產黨人	gon tshae taon gnin
共襄盛舉	gon shian zhin ciu
兵學	pin yuq
兵家	pin cia
兵家大忌	pin cia da ji
兵家常事	pin cia dzaon zy
兵家必爭	pin cia piq tsen
兵家必爭之地	pin cia piq tsen tsy di
兵甲	pin ciaq
兵諫	pin ci
兵貴神速	pin kuei zyun soq
兵車行	pin tsho yin
兵馬未動	pin mo vi don
其人	ji gnin
其他人	ji tha gnin
其他品牌	ji tha phin ba
其他國家	ji tha koq cia
其他行業	ji tha ghaon gniq
其它問題	ji tha ven di
其從如雲	ji dzon zyu yun
其樂不窮	ji loq paq jion
其樂無窮	ji loq vu jion
其樂無窮	ji loq Wu jion
其自身	ji zy shin
其自家	ji zhi ko
其間	ji ci
具爾	jiu er
具體問題	jiu thi ven di
典型人物	ti yin zyun vaq
典獄長	ti yuq cian
典範長存	ti vae jian dzen
兼了	ci liau
兼任教師	ci gnin ciau sy
兼差	ci tsha
冀望	ci vaon
冀朝鑄	ci jiau tsyu
冉冉	zoe zoe
冉冉上升	zoe zoe zaon shin
冉冉上昇	zoe zoe zaon shin
冉有	zoe yeu
冉有僕	zoe yeu boq
冊府元龜	tshaq fu gniu kuei
再上去	tse zaon chi
再下去	tse gho chi
再落去	tse loq chi
再不去	tse paq chi
再勿去	tse vaq chi
再勿去	tse vaq chi
再世	tse syu
再也	tse gha
再也不	tse gha paq
再也勿	tse gha vaq
再也弗	tse gha vaq
再也𣍐	tse gha vei
再也不是	tse gha paq zy
再也不會	tse gha paq wei
再也不肯	tse gha paq khen
再也不能	tse gha paq nen
再也勿是	tse gha vaq zy
再也勿會	tse gha vaq wei
再也勿肯	tse gha vaq khen
再也勿能	tse gha vaq nen
再也弗是	tse gha vaq zy
再也弗會	tse gha vaq wei
再也弗肯	tse gha vaq khen
再也弗能	tse gha vaq nen
再也沒有	tse gha maq yeu
再也嘸沒	tse gha mhiq
再也	tse ya
再也不	tse ya paq
再也勿	tse ya vaq
再也弗	tse ya vaq
再也𣍐	tse ya vei
再也不是	tse ya paq zy
再也不會	tse ya paq wei
再也不肯	tse ya paq khen
再也不能	tse ya paq nen
再也勿是	tse ya vaq zy
再也勿會	tse ya vaq wei
再也勿肯	tse ya vaq khen
再也勿能	tse ya vaq nen
再也弗是	tse ya vaq zy
再也弗會	tse ya vaq wei
再也弗肯	tse ya vaq khen
再也弗能	tse ya vaq nen
再也沒有	tse ya maq yeu
再也嘸沒	tse ya mhiq
再乾一杯	tse kI iq pei
再來一個	tse le iq goq
再傳	tse dzOE
再出去	tse tshyuq chi
再加	tse ko
再去	tse chi
再回去	tse wei chi
再大	tse dou
再好也不過	tse hau gha paq kou
再好也勿過	tse hau gha vaq kou
再好也弗過	tse hau gha vaq kou
再學	tse ghoq
再從	tse dzon
再拿	tse na
再馱	tse dou
再教育	tse ciau yuq
再沒	tse maq
再沒有	tse maq yeu
再嘸沒	tse mhiq
再生	tse sen
再生不良性貧血	tse sen paq lian shin bin shiuq
再生制動	tse sen tsyu don
再生燃料	tse sen zoe liau
再生父母	tse sen vu meu
再生產	tse sen tshae
再生紙	tse sen tsy
再生緣	tse sen yu
再生纖維	tse sen shi vi
再生能源	tse sen nen gniu
再生資源	tse sen tsy gniu
再發生	tse faq sen
再行	tse yin
再說下去	tse syuq gho chi
再講落去	tse kaon loq chi
再話落去	tse wo loq chi
再進去	tse cin chi
再過去	tse kou chi
再降	tse ciaon
冑甲	jieu ciaq
冒上去	mau zaon chi
冒了	mau lei
冒了	mau laq
冒大不韙	mau da paq wei
冒天下之大不韙	mau thi gho tsy da paq wei
冒牌	mau ba
冒牌貨	mau ba hou
冒生命危險	mau sen min wei shi
冒着	mau dzoq
冒着	mau zyuq
冒勒	mau laq
冒着危險	mau dzoq wei shi
冒着生命危險	mau dzoq sen min wei shi
冒着危險	mau zyuq wei shi
冒着生命危險	mau zyuq sen min wei shi
冒勒危險	mau laq wei shi
冒勒生命危險	mau laq sen min wei shi
冒險家	mau shi cia
冗長	dzon jian
冗長度	dzon jian du
冗雜	dzon dzaq
冠狀	kun dzaon
冠狀動脈	kun dzaon don maq
冠狀動脈旁路移植手術	kun dzaon don maq baon lu yi jiq shieu zyuq
冠狀動脈硬化症	kun dzaon don maq ngan huo cin
冠蓋雲集	kun ke yun jiq
冤大頭	iu da deu
冤家對頭	iu ko tei deu
冤家路窄	iu ko lu tsaq
冤死	iu shi
冤煞死	iu saq shi
冥間	min ci
冬不拉	ton paq lha
冬季世界	ton ci syu ka
冬日	ton zyuq
冬日可愛	ton zyuq khou e
冬日裏	ton zyuq li
冬烘先生	ton hon shi san
冬耕	ton kan
冬防	ton vaon
冰了	pin lei
冰了	pin laq
冰橇	pin chiau
冰櫃	pin guei
冰消瓦解	pin shiau ngo ka
冰消瓦解	pin shiau ngo cia
冰窖	pin ciau
冶金學	ye cin yuq
冷不防	lan paq vaon
冷了	lan lei
冷了	lan laq
冷凍櫃	lan ton guei
冷加工	lan ko kon
冷暖人間	lan noe zyun ci
冷暖自知	lan noe zy tsyu
冷櫃	lan guei
冷湖行政區	lan wu yin cin chiu
冷湖行政委員會	lan wu yin cin uei yu wei
冷熱自明	lan gniq zy min
冷藏櫃	lan dzaon guei
冷鍋裏爆豆	lan kou li pau deu
准不准你	tsyun paq tsyun gni
准假	tsyun ko
准普爾	tsyun phu er
凌亂不堪	lin loe paq khae
凌人	lin gnin
凌晨時分	lin zyun zy fen
凌氣逼人	lin chi piq gnin
凌空飛行	lin khon fi yin
凌藉	lin cia
凌雜	lin dzaq
凌雜米鹽	lin dzaq mi yi
凍死	ton shi
凍煞死	ton saq shi
凍膠	ton ciau
凝膠	gnin ciau
凝膠體	gnin ciau thi
凝視時間	gnin zy zy ci
凝視着	gnin zy dzoq
凝視着	gnin zy zyuq
凝視勒	gnin zy laq
凝集	gnin jiq
凝集力	gnin jiq liq
凝集反應	gnin jiq fae in
凝集的	gnin jiq tiq
凝集個	gnin jiq goq
凝集個	gnin jiq ghoq
凝集素	gnin jiq su
凡世通公司	vae syu thon kon sy
凡人	vae gnin
凡爾	vae er
凡爾丁	vae er tin
凡爾賽	vae er se
凡爾賽宮	vae er se kon
凡間	vae ci
凱樂	khe loq
凱爾特人	khe er daq gnin
凱迪拉克	khe diq lha khaq
凶年饑歲	shion gni ci sei
凶煞	shion saq
凸出去	daq tshyuq chi
凸狀	daq dzaon
凸狀物	daq dzaon vaq
凸着	daq dzoq
凸着	daq zyuq
凸的	daq tiq
凸仔	daq tsy
凸耳	daq er
凸面部分	daq mi bu ven
凹下去	au gho chi
凹陷下去	au ghae gho chi
出不了	tshyuq paq liau
出勿了	tshyuq vaq liau
出弗了	tshyuq vaq liau
出世	tshyuq syu
出世作	tshyuq syu tsoq
出世法	tshyuq syu faq
出了	tshyuq laq
出了	tshyuq lei
出仔	tshyuq tsy
出了事	tshyuq laq zy
出仔事體	tshyuq tsy zy thi
出了月	tshyuq laq yuq
出人命	tshyuq gnin min
出人意外	tshyuq zyun i nga
出人意料	tshyuq zyun i liau
出人意料之外	tshyuq zyun i liau tsy nga
出人意表	tshyuq zyun i piau
出伏	tshyuq voq
出個	tshyuq goq
出個	tshyuq ghoq
出個價	tshyuq goq ko
出個價	tshyuq ghoq ko
出公差	tshyuq kon tsha
出分子	tshyuq ven tsy
出勤率	tshyuq jin liq
出去	tshyuq chi
出去時	tshyuq chi zy
出去會	tshyuq chi wei
出去玩	tshyuq chi wae
出口傷人	tshyuq kheu saon gnin
出口入耳	tshyuq kheu zyuq er
出口日本	tshyuq kheu zyuq pen
出口貿易	tshyuq kheu meu yiq
出品人	tshyuq phin gnin
出問題	tshyuq ven di
出國留學	tshyuq koq lieu ghoq
出埃及記	tshyuq e jiq ci
出外人	tshyuq nga gnin
出大差	tshyuq dou tsha
出大恭	tshyuq dou kon
出太陽	tshyuq tha yan
出差	tshyuq tsha
出差費	tshyuq tsha fi
出差錯	tshyuq tsha tshou
出席率	tshyuq zhiq liq
出教	tshyuq ciau
出櫃	tshyuq guei
出死入生	tshyuq sy zyuq sen
出殯日	tshyuq pin gniq
出沒	tshyuq maq
出沒不定	tshyuq maq paq din
出海打魚	tshyuq he tan ng
出海捕魚	tshyuq he bu ng
出港大廳	tshyuq kaon da thin
出溜	tshyuq lieu
出爾反爾	tshyuq er fae er
出版人	tshyuq pae gnin
出版日	tshyuq pae gniq
出版日期	tshyuq pae zyuq ji
出版發行	tshyuq pae faq yin
出版自由	tshyuq pae zy yeu
出牌	tshyuq ba
出狀況	tshyuq dzaon huaon
出現問題	tshyuq yi ven di
出生入死	tshyuq sen zyuq sy
出生別	tshyuq san biq
出生日	tshyuq san gniq
出生日期	tshyuq sen zyuq ji
出生日期	tshyuq san zyuq ji
出生率	tshyuq sen liq
出生率	tshyuq san liq
出生證	tshyuq san cin
出生證明	tshyuq san cin min
出生證明書	tshyuq san cin min syu
出發日	tshyuq faq gniq
出租人	tshyuq tsu gnin
出租率	tshyuq tsu liq
出籠鳥	tshyuq lon gniau
出紅差	tshyuq ghon tsha
出自	tshyuq zy
出自孃胎	tshyuq zy gnian the
出自於	tshyuq zy yu
出自肺腑	tshyuq zy fi fu
出芽生殖	tshyuq ngo sen jiq
出苗率	tshyuq miau liq
出行	tshyuq yin
出言無狀	tshyuq yi vu dzaon
出言無狀	tshyuq yi Wu dzaon
出豁	tshyuq huaq
出貨單	tshyuq hou tae
出資人	tshyuq tsy gnin
出軌行爲	tshyuq kuei ghan wei
出錘	tshyuq zei
出頭之日	tshyuq deu tsy zyuq
出頭日子	tshyuq deu gniq tsy
出頭鳥	tshyuq deu gniau
出鬼入神	tshyuq kuei zyuq zyun
函人	ghEI gnin
函授學校	ghEI zhieu ghoq yau
函授教育	ghEI zhieu ciau yuq
刀下留人	tau gho lieu gnin
刀俎魚肉	tau tsu ng gnioq
刀架	tau ko
刀耕火種	tau kan hou tson
刀耕火耨	tau kan hou neu
刀背	tau pei
刀鋸	tau ciu
刀鋸斧鉞	tau ciu fu yuq
分一杯羹	fen iq pei kan
分不出	fen paq tshyuq
分不清	fen paq chin
分不清楚	fen paq chin tshu
分勿出	fen vaq tshyuq
分勿清	fen vaq chin
分勿清爽	fen vaq chin saon
分勿開	fen vaq khe
分弗出	fen vaq tshyuq
分弗清	fen vaq chin
分弗清爽	fen vaq chin saon
分弗開	fen vaq khe
分中心	fen tson shin
分久必合	fen cieu piq ghaq
分久必合合久必分	fen cieu piq ghaq ghaq cieu piq fen
分之	fen tsy
分之一	fen tsy iq
分了	fen laq
分了	fen lei
分享	fen shian
分付	fen fu
分以上	fen yi zaon
分佈	fen pu
分佈區	fen pu chiu
分佈圖	fen pu du
分佈學習	fen pu ghoq zyuq
分佈學習	fen pu ghoq zhiq
分佈式	fen pu shiq
分佈式拒絕服務	fen pu shiq jiu dzyuq voq vu
分佈式拒絕服務	fen pu shiq jiu dzyuq voq Wu
分佈式環境	fen pu shiq wae cin
分佈式結構	fen pu shiq ciq keu
分佈式網絡	fen pu shiq maon loq
分佈控制	fen pu khon tsyu
分佈於	fen pu yu
分佈範圍	fen pu vae wei
分佔	fen ci
分作	fen tsoq
分來	fen le
分來分去	fen le fen chi
分信	fen shin
分個	fen goq
分個	fen ghoq
分值	fen jiq
分做	fen tsou
分光	fen kuaon
分光度	fen kuaon du
分光計	fen kuaon ci
分光鏡	fen kuaon cin
分克	fen khaq
分內	ven nei
分內之事	ven nei tsy zy
分公司	fen kon sy
分兵	fen pin
分冊	fen tshaq
分出	fen tshyuq
分出來	fen tshyuq le
分出去	fen tshyuq chi
分分	fen fen
分分合合	fen fen ghaq ghaq
分分秒秒	fen fen miau miau
分列	fen liq
分列式	fen liq shiq
分列爲	fen liq wei
分別	fen biq
分別出	fen biq tshyuq
分別財產制	fen biq dze tshae tsyu
分別部居	fen biq bu ciu
分利	fen li
分到	fen tau
分則	fen tsaq
分割	fen kaq
分割爲	fen kaq wei
分割線	fen kaq shi
分力	fen liq
分包	fen pau
分化	fen huo
分化瓦解	fen huo ngo ka
分化瓦解	fen huo ngo cia
分區	fen chiu
分區表	fen chiu piau
分區賽	fen chiu se
分半鐘	fen pun tson
分去	fen chiu
分叉	fen tsho
分句	fen ciu
分吃	fen chioq
分合	fen ghaq
分唱	fen tshaon
分國	fen koq
分在	fen dze
分地	fen di
分場	fen jian
分壓力	fen aq liq
分外	ven nga
分多鐘	fen tou tson
分夥	fen hou
分奏	fen tseu
分好	fen hau
分娩	fen mi
分子	fen tsy
分子力	fen tsy liq
分子化合物	fen tsy huo ghaq vaq
分子尾	fen tsy vi
分子式	fen tsy shiq
分子生物	fen tsy sen vaq
分子生物學	fen tsy sen vaq yuq
分子篩	fen tsy sy
分子結構	fen tsy ciq keu
分子論	fen tsy len
分子運動	fen tsy yun don
分子運動論	fen tsy yun don len
分子遺傳學	fen tsy yi dzOE yuq
分子醫學	fen tsy i yuq
分子量	fen tsy lian
分子鐘	fen tsy tson
分子雜交	fen tsy dzaq ciau
分子電流	fen tsy di lieu
分季	fen ci
分守	fen shieu
分宜	fen gni
分宜縣	fen gni yu
分家	fen cia
分寄	fen ci
分寸	fen tshen
分封	fen fon
分封制	fen fon tsyu
分對	fen tei
分局	fen jiuq
分居	fen ciu
分屍	fen sy
分屍案	fen sy EI
分層	fen zen
分層負責	fen zen veu tsaq
分屬	fen dzoq
分岐	fen ji
分岔	fen tsho
分岔理論	fen tsho li len
分崩離兮	fen pon li shi
分崩離析	fen pon li shiq
分巡兵備道	fen zyun pin bei dau
分工	fen kon
分工合作	fen kon ghaq tsoq
分工整合	fen kon cin ghaq
分左右	fen tsou yeu
分布圖	fen pu du
分帳	fen cian
分店	fen ti
分度	fen du
分度器	fen du chi
分度規	fen du kuei
分度頭	fen du deu
分庭	fen din
分庭抗禮	fen din khaon li
分廠	fen chian
分式	fen shiq
分式方程	fen shiq faon jin
分形	fen yin
分形同氣	fen yin don chi
分形幾何	fen yin ci ghou
分形幾何學	fen yin ci ghou yuq
分得	fen taq
分得出	fen taq tshyuq
分得到	fen taq tau
分得清	fen taq chin
分勒出	fen laq tshyuq
分勒到	fen laq tau
分勒清	fen laq chin
分心	fen shin
分憂	fen ieu
分憂解勞	fen ieu ka lau
分成	fen jin
分我杯羹	fen ngo pei kan
分截	fen jiq
分戶	fen wu
分戶帳	fen wu cian
分房	fen vaon
分所	fen so
分手	fen shieu
分手代理	fen shieu de li
分批	fen phi
分批交貨	fen phi ciau hou
分批進行	fen phi cin yin
分拆	fen tshaq
分指	fen tsy
分掉	fen diau
分排	fen ba
分揀	fen ci
分擔	fen tae
分擺	fen pa
分攤	fen thae
分支	fen tsy
分支機構	fen tsy ci keu
分支機關	fen tsy ci kuae
分散	fen sae
分散主義	fen sae tsyu gni
分散介質	fen sae ka ciq
分散劑	fen sae ci
分散度	fen sae du
分散式	fen sae shiq
分散於	fen sae yu
分散染料	fen sae gni liau
分散注意	fen sae tsyu i
分散的策略	fen sae tiq tshaq liaq
分散相	fen sae shian
分散開來	fen sae khe le
分數	fen su
分數掛帥	fen su kuo se
分數線	fen su shi
分文	fen ven
分文不值	fen ven paq jiq
分文不取	fen ven paq tshyu
分斤掰兩	fen cin paq lian
分斤撥兩	fen cin paq lian
分明	fen min
分明是	fen min zy
分時	fen zy
分時多工	fen zy tou kon
分時系統	fen zy shi thon
分時走勢圖	fen zy tseu syu du
分曉	fen shiau
分會	fen wei
分會場	fen wei jian
分有	fen yeu
分期	fen ji
分期付款	fen ji fu khun
分杯羹	fen pei kan
分析	fen shiq
分析人士	fen shiq zyun zy
分析儀	fen shiq gni
分析出	fen shiq tshyuq
分析出來	fen shiq tshyuq le
分析化學	fen shiq huo yuq
分析員	fen shiq yu
分析問題	fen shiq ven di
分析器	fen shiq chi
分析報告	fen shiq pau kau
分析學	fen shiq yuq
分析家	fen shiq cia
分析師	fen shiq sy
分析心理學	fen shiq shin li yuq
分析方法	fen shiq faon faq
分析法	fen shiq faq
分析研究	fen shiq GNi cieu
分析處理	fen shiq tshyu li
分析語	fen shiq gniu
分枝	fen tsy
分架	fen ko
分校	fen yau
分格	fen kaq
分桃	fen dau
分機	fen ci
分檔	fen taon
分欄	fen lae
分權	fen jiu
分權制衡	fen jiu tsyu ghen
分款	fen khun
分步	fen bu
分步驟	fen bu zeu
分歧	fen ji
分歧點	fen ji ti
分段	fen doe
分段進行	fen doe cin yin
分母	fen meu
分毫	fen ghau
分毫不差	fen ghau paq tsho
分毫之差	fen ghau tsy tsho
分水	fen syu
分水嶺	fen syu lin
分水線	fen syu shi
分油	fen yeu
分治	fen dzyu
分泌	fen pi
分泌出	fen pi tshyuq
分泌物	fen pi vaq
分泌管	fen pi kun
分泌系統	fen pi shi thon
分泌腺	fen pi shi
分泌顆粒	fen pi khou liq
分法	fen faq
分波多工	fen pou tou kon
分洪	fen ghon
分派	fen pha
分流	fen lieu
分清	fen chin
分潤	fen zyun
分爨	fen tshoe
分爭	fen tsen
分爲	fen wei
分牀	fen zaon
分牀而眠	fen zaon er mi
分牀而睡	fen zaon er zei
分片	fen phi
分片包乾	fen phi pau kI
分牌	fen ba
分獲	fen ghoq
分班	fen pae
分班考試	fen pae khau sy
分理處	fen li tshyu
分甘共苦	fen kI gon khu
分生	fen sen
分生組織	fen sen tsu ciq
分用	fen yon
分由	fen yeu
分界	fen ka
分界線	fen ka shi
分界	fen cia
分界線	fen cia shi
分異	fen yi
分當	fen taon
分登	fen ten
分發	fen faq
分發到	fen faq tau
分發區	fen faq chiu
分發給	fen faq ciq
分發撥	fen faq paq
分的	fen tiq
分個	fen goq
分個	fen ghoq
分相	fen shian
分省	fen san
分社	fen dzo
分神	fen zyun
分科	fen khou
分秒	fen miau
分秒不差	fen miau paq tsho
分秒必爭	fen miau piq tsen
分租	fen tsu
分稅制	fen sei tsyu
分種	fen tson
分立	fen liq
分站	fen dzae
分章	fen tsaon
分等	fen ten
分管	fen kun
分箱	fen shian
分節	fen ciq
分籃	fen lae
分米	fen mi
分系	fen shi
分系統	fen shi thon
分紅	fen ghon
分級	fen ciq
分級制	fen ciq tsyu
分級淬火	fen ciq tshei hou
分組	fen tsu
分組交換	fen tsu ciau wun
分組活動	fen tsu waq don
分組討論	fen tsu thau len
分給	fen ciq
分撥	fen paq
分線	fen shi
分線規	fen shi kuei
分縣	fen yu
分置	fen tsyu
分署	fen zyu
分羣	fen jiun
分而治之	fen er dzyu tsy
分肥	fen vi
分至	fen tsy
分至點	fen tsy ti
分色	fen saq
分色鏡	fen saq cin
分菜	fen tshe
分蔥	fen tshon
分號	fen ghau
分衆	fen tson
分行	fen ghaon
分行布白	fen ghaon pu baq
分袂	fen mei
分被	fen bi
分裂	fen liq
分裂主義	fen liq tsyu gni
分裂性	fen liq shin
分裂法	fen liq faq
分裂爲	fen liq wei
分裂症	fen liq cin
分裂組織	fen liq tsu ciq
分裝	fen tsaon
分裝機	fen tsaon ci
分角器	fen koq chi
分解	fen cia
分解代謝	fen cia de zhia
分解作用	fen cia tsoq yon
分解力	fen cia liq
分解成	fen cia jin
分解掉	fen cia diau
分解爲	fen cia wei
分設	fen shiq
分詞	fen dzy
分詞構句	fen dzy keu ciu
分說	fen syuq
分課	fen khou
分貝	fen pei
分賬	fen cian
分走	fen tseu
分赴	fen fu
分起	fen chi
分起來	fen chi le
分路	fen lu
分路揚鑣	fen lu yan piau
分身	fen shin
分身乏術	fen shin vaq zyuq
分身術	fen shin zyuq
分車	fen tsho
分載	fen tse
分辨	fen bi
分辨出	fen bi tshyuq
分辨出來	fen bi tshyuq le
分辨善惡	fen bi zoe oq
分辨是非	fen bi zy fi
分辨率	fen bi liq
分辨率爲	fen bi liq wei
分辨真假	fen bi cin ko
分辯	fen bi
分送	fen son
分途	fen du
分進	fen cin
分進合	fen cin ghaq
分進合擊	fen cin ghaq ciq
分運	fen yun
分過	fen kou
分過來	fen kou le
分過去	fen kou chiu
分道	fen dau
分道揚鑣	fen dau yan piau
分選	fen soe
分邊	fen pi
分部	fen bu
分配	fen phei
分配制度	fen phei tsyu du
分配器	fen phei chi
分配律	fen phei liq
分配率	fen phei liq
分配給	fen phei ciq
分配閥	fen phei vaq
分野	fen ya
分量	fen lian
分釐卡	fen li kha
分針	fen cin
分釵斷帶	fen tsha doe ta
分銷	fen shiau
分銷商	fen shiau saon
分銷店	fen shiau ti
分銷網絡	fen shiau maon loq
分錄	fen loq
分錢	fen ji
分鈔票	fen tshau phiau
分鏡頭	fen cin deu
分鐘	fen tson
分長	fen jian
分門	fen men
分門別類	fen men biq lei
分開	fen khe
分院	fen yu
分陰	fen in
分隊	fen dei
分階段	fen ka doe
分階段	fen cie doe
分隔	fen kaq
分隔島	fen kaq tau
分隔符	fen kaq vu
分集	fen jiq
分離	fen li
分離主義	fen li tsyu gni
分離份子	fen li ven tsy
分離出	fen li tshyuq
分離出來	fen li tshyuq le
分離分子	fen li ven tsy
分離器	fen li chi
分離法	fen li faq
分離術	fen li zyuq
分音符	fen in vu
分頁	fen yiq
分項	fen ghaon
分領	fen lin
分頭來	fen deu le
分頭去	fen deu chi
分頭辦理	fen deu bae li
分頻	fen bin
分類	fen lei
分類信息	fen lei shin shiq
分類學	fen lei yuq
分類帳	fen lei cian
分類廣告	fen lei kuaon kau
分類法	fen lei faq
分類理論	fen lei li len
分類目錄	fen lei moq loq
分類賬	fen lei cian
分飛	fen fi
分食	fen zhiq
分飾	fen shiq
分飾兩角	fen shiq lian koq
分餐	fen tshae
分館	fen kun
分餾	fen lieu
分餾器	fen lieu chi
分餾塔	fen lieu thaq
分餾法	fen lieu faq
分香賣履	fen shian ma li
分駕	fen cia
分點	fen ti
分黨	fen taon
分齡	fen lin
切上去	chiq zaon chi
切下去	chiq gho chi
切個	chiq goq
切個	chiq ghoq
切出去	chiq tshyuq chi
切分	chiq fen
切分音	chiq fen in
切去	chiq chi
切實可行	chiq zyuq khou yin
切望	chiq vaon
切爾西	chiq er shi
切爾諾貝利	chiq er noq pei li
切空間	chiq khon ci
切腹自殺	chiq foq zy saq
切莫	chiq moq
切進去	chiq cin chi
切過去	chiq kou chi
刊行	khae yin
刎頸之交	ven cin tsy ciau
刑事處分	yin zy tshyu ven
刑事責任	yin zy tsaq zyun
刑名之學	yin min tsy yuq
刑法學	yin faq yuq
刑舂	yin tshon
划不來	waq paq le
划勿來	waq vaq le
划弗來	waq vaq le
划了一會	uo laq iq wei
划單人艇	uo tae gnin thin
划單人艇	waq tae gnin thin
划得來	waq taq le
划拳	waq jiu
划槳	uo cian
划着	uo dzoq
划着	uo zyuq
划着走	uo dzoq tseu
划着走	uo zyuq tseu
划勒	uo laq
划勒走	uo laq tseu
划算	waq soe
划船	uo ZOE
划行	uo yin
划行	waq yin
划龍舟	uo lon cieu
列上去	liq zaon chi
列了	liq laq
列傳	liq dzoe
列夫托爾斯泰	liq fu thoq er sy tha
列寧全集	liq gnin dzoe jiq
列寧選集	liq gnin soe jiq
列車長	liq tsho cian
初中生	tshu tson san
初二	tshu gni
初交	tshu ciau
初伏	tshu voq
初戀感覺	tshu li kI ciuq
初戀的感覺	tshu li tiq kI ciuq
初戀個感覺	tshu li goq kI ciuq
初戀個感覺	tshu li ghoq kI ciuq
初更	tshu kan
初生	tshu sen
初生之犢	tshu sen tsy doq
初生之犢不怕虎	tshu sen tsy doq paq pho fu
初生之犢不畏虎	tshu sen tsy doq paq uei fu
初生牛犢不怕虎	tshu sen ngeu doq paq pho fu
初等教育	tshu ten ciau yuq
初級中學	tshu ciq tson ghoq
初級小學	tshu ciq shiau ghoq
判下去	phun gho chi
判落去	phun loq chi
判分	phun fen
判死罪	phun shi zei
判若兩人	phun zhiaq lian gnin
判若兩人	phun zoq lian gnin
別上去	biq zaon chi
別下去	biq gho chi
別人	biq gnin
別人的	biq gnin tiq
別人個	biq gnin goq
別人個	biq gnin ghoq
別人家	biq gnin ko
別個	biq goq
